"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"127","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"127","Ollie Gordon II (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.2%"
"127","Ashton Jeanty (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.7%"
"193","Ben VanSumeren (PHI)","0","0","0","0","0","0","1","1","0","0.0","0","0","7","0.0","0.0","1.4%"
"194","Omarion Hampton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.1%"
"194","Lew Nichols III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"194","Trevor Etienne (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.3%"
"194","Quinshon Judkins (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.3%"
"194","Jacob Saylors (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Jordan Waters (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Kazmeir Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"194","Elijah Dotson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Jashaun Corbin (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Marcus Yarns (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"194","Bhayshul Tuten (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.5%"
"194","Jordan James (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
