"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"72","Tanner Hudson (CIN)","10","15","132","13.2","27","1","0","0","0","0","0","6","13.2","2.2","1.2%"
"73","Zach Gentry (FA)","19","23","132","6.9","32","2","0","0","0","0","0","14","13.2","0.9","0.0%"
"74","Brevin Jordan (HOU)","14","28","128","9.1","20","2","0","0","0","0","0","9","12.8","1.4","0.6%"
"75","Chris Myarick (MIA)","7","8","65","9.3","23","1","1","0","0","0","0","10","12.5","1.3","0.0%"
"76","Quintin Morris (JAC)","8","11","84","10.5","26","1","1","0","0","0","1","9","12.4","1.4","1.4%"
"77","Jack Stoll (NO)","11","14","123","11.2","26","2","0","0","0","0","0","10","12.3","1.2","0.0%"
"78","Geoff Swaim (FA)","12","16","58","4.8","13","0","1","0","0","0","0","12","11.8","1.0","0.0%"
"79","Pharaoh Brown (MIA)","12","20","117","9.8","30","1","0","0","0","0","0","9","11.7","1.3","0.1%"
"80","Josiah Deguara (ARI)","13","15","114","8.8","25","1","0","0","0","0","0","9","11.4","1.3","0.0%"
"81","Brycen Hopkins (FA)","7","11","109","15.6","22","2","0","0","0","0","0","7","10.9","1.6","0.0%"
"82","Anthony Firkser (FA)","9","13","100","11.1","22","1","0","0","0","0","0","8","10.0","1.3","0.0%"
"83","Giovanni Ricci (MIN)","8","9","100","12.5","32","1","0","0","0","0","0","11","10.0","0.9","0.0%"
"84","Armani Rogers (FA)","5","6","64","12.8","23","1","0","2","26","0","0","9","9.0","1.0","1.0%"
"85","Parker Hesse (FA)","9","11","89","9.9","22","1","0","0","0","0","0","12","8.9","0.7","0.0%"
