"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"42","Drake London (ATL)","69","110","905","13.1","45","17","2","0","0","0","0","16","105.4","6.6","99.0%"
"43","Diontae Johnson (CLE)","51","87","717","14.1","71","10","5","0","0","0","0","13","101.7","7.8","7.7%"
"44","Darius Slayton (NYG)","50","79","770","15.4","80","11","4","0","0","0","0","17","101.0","5.9","7.2%"
"45","Tee Higgins (CIN)","42","76","656","15.6","80","8","5","0","0","0","0","12","95.6","8.0","98.3%"
"46","Curtis Samuel (BUF)","62","91","613","9.9","37","7","4","7","39","1","0","16","95.2","6.0","2.9%"
"47","Christian Kirk (HOU)","57","85","787","13.8","57","13","3","1","6","0","2","12","93.3","7.8","30.0%"
"48","Josh Downs (IND)","68","98","771","11.3","59","10","2","0","0","0","0","17","89.1","5.2","62.2%"
"49","Josh Reynolds (NYJ)","40","64","608","15.2","33","17","5","0","0","0","1","16","88.8","5.6","2.6%"
"50","Jerry Jeudy (CLE)","54","87","758","14.0","47","10","2","0","0","0","0","16","87.8","5.5","87.5%"
"51","Jaxon Smith-Njigba (SEA)","63","93","628","10.0","35","7","4","0","0","0","0","17","86.8","5.1","97.9%"
"52","Marquise Brown (KC)","51","101","574","11.3","41","8","4","2","23","0","0","13","83.7","6.4","36.0%"
"53","Dontayvion Wicks (GB)","39","58","581","14.9","35","11","4","1","1","0","1","15","80.8","5.4","8.4%"
"54","DJ Chark Jr. (ATL)","35","66","525","15.0","47","9","5","0","0","0","1","14","80.5","5.8","0.7%"
"55","Tyler Boyd (FA)","67","98","667","10.0","64","6","2","2","11","0","0","17","78.8","4.6","1.2%"
"56","Michael Wilson (ARI)","38","58","565","14.9","69","7","3","0","0","0","0","13","76.5","5.9","8.8%"
"57","Jahan Dotson (PHI)","49","83","518","10.6","33","5","4","0","0","0","0","17","75.8","4.5","2.4%"
"58","Khalil Shakir (BUF)","39","45","611","15.7","81","10","2","1","10","0","0","17","74.1","4.4","78.1%"
"59","Tutu Atwell (LAR)","39","67","483","12.4","44","8","3","5","31","0","0","16","73.4","4.6","4.6%"
"60","Christian Watson (GB)","28","53","422","15.1","77","5","5","4","11","0","0","9","73.3","8.1","7.7%"
"61","Wan'Dale Robinson (NYG)","60","78","525","8.8","33","7","1","9","87","1","0","15","73.2","4.9","19.7%"
"62","Elijah Moore (BUF)","59","104","640","10.8","42","9","2","9","11","0","2","16","73.1","4.6","3.3%"
"63","Odell Beckham Jr. (FA)","35","64","565","16.1","51","10","3","0","0","0","1","14","72.5","5.2","1.1%"
"64","K.J. Osborn (WAS)","48","75","540","11.3","47","7","3","0","0","0","0","15","72.0","4.8","1.4%"
"65","Joshua Palmer (BUF)","38","61","581","15.3","79","9","2","1","6","0","1","11","68.7","6.2","17.1%"
"66","Noah Brown (WAS)","33","55","567","17.2","75","14","2","1","-1","0","0","10","68.6","6.9","2.1%"
"67","Rondale Moore (MIN)","40","62","352","8.8","48","4","1","28","178","1","0","17","65.0","3.8","0.7%"
"68","Alec Pierce (IND)","32","65","514","16.1","58","8","2","0","0","0","0","17","63.4","3.7","12.6%"
"69","Kendrick Bourne (NE)","37","55","406","11.0","36","5","4","1","4","0","1","8","63.0","7.9","1.4%"
"70","Kalif Raymond (DET)","35","44","489","14.0","41","9","1","7","75","0","0","17","62.4","3.7","0.9%"
"71","Nelson Agholor (FA)","35","45","381","10.9","37","4","4","0","0","0","0","16","62.1","3.9","1.0%"
"72","Justin Watson (HOU)","27","53","460","17.0","41","8","3","0","0","0","1","15","62.0","4.1","1.0%"
"73","Demarcus Robinson (SF)","26","39","371","14.3","37","7","4","1","23","0","1","9","61.4","6.8","2.8%"
"74","DeMario Douglas (NE)","49","79","561","11.4","42","6","0","8","41","0","1","14","58.2","4.2","17.1%"
"75","Nick Westbrook-Ikhine (MIA)","28","45","370","13.2","33","8","3","0","0","0","0","13","57.0","4.4","3.0%"
"76","Trey Palmer (TB)","39","68","385","9.9","54","6","3","3","22","0","1","17","56.7","3.3","0.6%"
"77","Jameson Williams (DET)","24","42","354","14.8","63","5","2","3","29","1","0","12","56.3","4.7","90.4%"
"78","Quentin Johnston (LAC)","38","67","431","11.3","57","5","2","3","9","0","0","17","56.0","3.3","20.7%"
"79","Brandon Johnson (PIT)","19","30","284","14.9","50","6","4","0","0","0","0","11","54.4","4.9","1.0%"
"80","Michael Gallup (WAS)","34","57","418","12.3","41","6","2","0","0","0","0","17","53.8","3.2","0.6%"
"81","Tre Tucker (LV)","19","34","331","17.4","50","6","2","10","77","0","0","16","52.8","3.3","3.0%"
"82","Michael Thomas (FA)","39","64","448","11.5","31","4","1","0","0","0","0","10","50.8","5.1","1.2%"
"83","Robert Woods (PIT)","40","75","426","10.7","26","2","1","1","7","0","0","14","49.3","3.5","1.1%"
"84","Marvin Mims Jr. (DEN)","22","33","377","17.1","60","6","1","9","30","0","2","16","48.7","3.0","41.8%"
"85","A.T. Perry (DEN)","12","18","246","20.5","44","5","4","0","0","0","0","8","48.6","6.1","1.6%"
"86","Darnell Mooney (ATL)","31","61","414","13.4","41","7","1","2","5","0","0","14","47.9","3.4","58.7%"
"87","KaVontae Turpin (DAL)","12","18","127","10.6","34","2","3","11","110","1","0","16","47.7","3.0","3.2%"
"88","Cedrick Wilson Jr. (NO)","22","38","296","13.5","31","5","3","0","0","0","0","11","47.6","4.3","1.1%"
"89","Chris Moore (WAS)","22","35","424","19.3","49","9","0","2","39","0","0","17","46.3","2.7","0.0%"
"90","Rashod Bateman (BAL)","32","56","367","11.5","29","2","1","1","18","0","0","16","44.5","2.8","31.9%"
"91","Zay Jones (ARI)","34","64","321","9.4","36","3","2","0","0","0","0","9","44.1","4.9","1.0%"
"92","Jonathan Mingo (DAL)","43","85","418","9.7","40","6","0","0","0","0","0","15","41.8","2.8","0.6%"
"93","Greg Dortch (ARI)","24","41","280","11.7","38","3","2","1","5","0","0","16","40.5","2.5","1.8%"
"94","DeVante Parker (FA)","33","55","394","11.9","30","6","0","0","0","0","0","13","39.4","3.0","0.0%"
"95","Isaiah Hodgins (SF)","21","33","230","11.0","24","1","3","0","0","0","1","14","39.0","2.8","0.0%"
"96","Brandon Powell (FA)","29","44","324","11.2","28","6","1","5","17","0","1","17","38.1","2.2","1.4%"
"97","Jake Bobo (SEA)","19","25","196","10.3","31","3","2","1","3","1","0","17","37.9","2.2","1.0%"
"98","Xavier Gipson (NYJ)","21","38","229","10.9","36","4","0","8","68","1","2","17","37.7","2.2","0.6%"
"99","Trenton Irwin (JAC)","25","32","316","12.6","32","7","1","0","0","0","0","12","37.6","3.1","0.0%"
"100","Jalin Hyatt (NYG)","23","40","373","16.2","58","7","0","0","0","0","0","17","37.3","2.2","1.4%"
"101","Allen Lazard (NYJ)","23","49","311","13.5","39","5","1","0","0","0","0","14","37.1","2.7","2.7%"
"102","Jalen Tolbert (DAL)","22","36","268","12.2","45","3","2","0","0","0","1","17","36.8","2.2","4.6%"
"103","Calvin Austin III (PIT)","17","30","180","10.6","72","1","1","11","57","1","0","17","35.7","2.1","10.0%"
"104","Andrei Iosivas (CIN)","15","25","116","7.7","16","0","4","0","0","0","0","16","35.6","2.2","5.7%"
"105","Marquez Valdes-Scantling (SEA)","21","42","315","15.0","46","5","1","0","0","0","1","16","35.5","2.2","3.6%"
"106","David Bell (CLE)","14","23","167","11.9","41","3","3","0","0","0","0","15","34.7","2.3","0.0%"
"107","Lil'Jordan Humphrey (NYG)","13","19","162","12.5","54","1","3","0","0","0","0","11","34.2","3.1","0.7%"
"108","Skyy Moore (KC)","21","38","244","11.6","54","3","1","3","23","0","0","14","32.7","2.3","0.1%"
"109","Jauan Jennings (SF)","19","33","265","13.9","31","4","1","0","0","0","0","13","32.5","2.5","79.8%"
"110","JuJu Smith-Schuster (KC)","29","47","260","9.0","37","3","1","0","0","0","0","11","32.0","2.9","1.5%"
"111","Mike Williams (FA)","19","26","249","13.1","49","4","1","1","3","0","0","3","31.2","10.4","3.2%"
"112","Braxton Berrios (HOU)","27","33","238","8.8","22","1","1","1","11","0","0","16","30.9","1.9","0.6%"
"113","Bo Melton (GB)","16","24","218","13.6","37","3","1","3","21","0","0","5","29.9","6.0","0.8%"
"114","Alex Erickson (FA)","16","29","232","14.5","27","4","1","0","0","0","0","8","29.2","3.7","0.0%"
"115","Olamide Zaccheaus (CHI)","10","20","164","16.4","34","4","2","0","0","0","0","11","28.4","2.6","1.1%"
"116","Scotty Miller (PIT)","11","16","161","14.6","56","2","2","0","0","0","0","12","28.1","2.3","0.1%"
"117","Allen Robinson II (FA)","34","49","280","8.2","31","2","0","0","0","0","0","15","28.0","1.9","1.4%"
"118","Jamal Agnew (ATL)","14","21","225","16.1","65","2","1","4","-2","0","1","11","26.3","2.4","0.0%"
"119","Kadarius Toney (FA)","27","38","169","6.3","18","0","1","11","31","0","0","13","26.0","2.0","0.6%"
"120","Julio Jones (FA)","11","19","74","6.7","22","1","3","0","0","0","0","8","25.4","3.2","0.6%"
"121","Mack Hollins (NE)","18","30","251","13.9","45","3","0","0","0","0","0","11","25.1","2.3","1.7%"
"122","Deonte Harty (FA)","15","21","150","10.0","43","2","1","4","0","0","1","16","25.0","1.6","0.0%"
"123","Ronnie Bell (DET)","6","13","68","11.3","20","1","3","0","0","0","0","13","24.8","1.9","0.1%"
"124","Ihmir Smith-Marsette (NYG)","8","10","51","6.4","18","0","0","8","74","1","0","17","24.5","1.4","0.6%"
"125","Treylon Burks (TEN)","16","30","221","13.8","70","4","0","5","18","0","0","11","23.9","2.2","0.6%"
"126","Hunter Renfrow (CAR)","25","37","255","10.2","38","3","0","0","0","0","1","14","23.5","1.7","1.9%"
"127","Cedric Tillman (CLE)","21","44","224","10.7","23","1","0","1","8","0","0","14","23.2","1.7","24.4%"
"128","Parker Washington (JAC)","16","21","132","8.3","19","0","2","0","0","0","1","9","23.2","2.6","2.6%"
"129","KhaDarel Hodge (ATL)","14","23","232","16.6","52","3","0","1","0","0","0","17","23.2","1.4","0.7%"
"130","Dyami Brown (JAC)","12","23","168","14.0","35","2","1","1","0","0","0","16","23.0","1.4","7.5%"
"131","Jalen Reagor (LAC)","7","23","138","19.7","39","3","0","1","17","0","0","9","21.5","2.4","0.0%"
"132","Van Jefferson (TEN)","20","43","209","10.5","46","1","0","1","4","0","0","15","21.3","1.4","1.1%"
"133","Derius Davis (LAC)","15","17","66","4.4","18","0","0","14","101","0","1","17","20.7","1.2","0.6%"
"134","Quez Watkins (ARI)","15","21","142","9.5","19","0","1","0","0","0","0","5","20.2","4.0","0.0%"
"135","Jamison Crowder (FA)","16","20","159","9.9","26","1","1","0","0","0","1","16","19.9","1.2","1.0%"
"136","Tyler Scott (CHI)","17","32","168","9.9","30","1","0","7","41","0","1","17","18.9","1.1","0.9%"
"137","Robbie Chosen (SF)","4","6","126","31.5","68","2","1","0","0","0","0","6","18.6","3.1","0.0%"
"138","Malik Heath (GB)","15","24","125","8.3","16","0","1","0","0","0","0","13","18.5","1.4","0.6%"
"139","River Cracraft (FA)","9","12","121","13.4","24","2","1","0","0","0","0","6","18.1","3.0","0.0%"
"140","Deven Thompkins (FA)","17","25","83","4.9","26","1","1","8","56","0","1","17","17.9","1.1","0.0%"
"141","Ray-Ray McCloud III (ATL)","12","15","135","11.3","41","2","0","3","30","0","0","12","16.5","1.4","2.7%"
"142","John Metchie III (HOU)","16","30","158","9.9","22","1","0","1","4","0","0","16","16.2","1.0","0.9%"
"143","Kyle Philips (FA)","15","22","181","12.1","29","4","0","0","0","0","1","8","16.1","2.0","0.0%"
"144","Donovan Peoples-Jones (NO)","13","25","155","11.9","29","2","0","0","0","0","0","14","15.5","1.1","0.0%"
"145","David Moore (CAR)","5","7","94","18.8","52","1","1","0","0","0","0","6","15.4","2.6","0.8%"
"146","Jalen Guyton (FA)","10","21","89","8.9","18","0","1","0","0","0","0","7","14.9","2.1","0.0%"
"147","Trent Sherfield Sr. (DEN)","11","22","86","7.8","12","0","1","0","0","0","0","11","14.6","1.3","0.1%"
"148","Tyquan Thornton (KC)","13","23","91","7.0","15","0","0","3","51","0","0","9","14.2","1.6","1.1%"
"149","Byron Pringle (FA)","14","22","161","11.5","26","1","0","0","0","0","1","13","14.1","1.1","0.0%"
"150","Xavier Hutchinson (HOU)","8","19","90","11.3","34","1","0","5","49","0","0","15","13.9","0.9","0.6%"
"151","Terrace Marshall Jr. (PHI)","19","33","139","7.3","14","0","0","0","0","0","0","8","13.9","1.7","0.6%"
"152","Chase Claypool (FA)","8","21","77","9.6","20","1","1","0","0","0","0","11","13.7","1.2","1.1%"
"153","Charlie Jones (CIN)","7","9","64","9.1","35","1","0","2","13","0","0","11","13.7","1.2","0.6%"
"154","Ben Skowronek (PIT)","8","12","66","8.3","20","1","1","2","9","0","0","13","13.5","1.0","0.0%"
"155","Randall Cobb (FA)","5","17","39","7.8","15","0","1","0","0","0","0","9","11.9","1.3","1.1%"
"156","D.J. Montgomery (IND)","3","8","56","18.7","34","1","1","0","0","0","0","7","11.6","1.7","0.0%"
"157","Jason Brownlee (KC)","5","8","56","11.2","24","1","1","0","0","0","0","4","11.6","2.9","0.0%"
"158","Laviska Shenault Jr. (BUF)","10","10","60","6.0","14","0","0","12","55","0","0","8","11.5","1.4","0.1%"
"159","Lynn Bowden Jr. (FA)","11","16","83","7.5","17","0","0","5","32","0","0","8","11.5","1.4","0.0%"
"160","Mecole Hardman Jr. (GB)","15","24","124","8.3","37","1","0","1","3","0","1","7","10.7","1.5","0.6%"
"161","Parris Campbell (FA)","20","27","104","5.2","17","0","0","0","0","0","0","10","10.4","1.0","0.1%"
"162","Sterling Shepard (TB)","10","22","57","5.7","13","0","1","1","6","0","1","10","10.3","1.0","1.0%"
"163","Marquise Goodwin (FA)","4","13","67","16.8","57","1","0","4","33","0","0","10","10.0","1.0","0.0%"
"164","Keith Kirkwood (BAL)","5","9","37","7.4","13","0","1","0","0","0","0","7","9.7","1.4","0.0%"
"165","Lawrence Cager (WAS)","4","5","36","9.0","10","0","1","0","0","0","0","5","9.6","1.9","0.0%"
"166","Richie James Jr. (FA)","10","14","114","11.4","45","1","0","0","0","0","1","9","9.4","1.0","0.0%"
"167","Tim Jones (MIN)","11","18","83","7.5","15","0","0","0","0","0","0","10","8.3","0.8","0.0%"
"168","Samori Toure (CHI)","8","18","78","9.8","35","1","0","0","0","0","1","8","7.8","1.0","0.0%"
"169","Tylan Wallace (BAL)","1","2","11","11.0","11","0","0","0","0","0","0","9","7.1","0.8","0.6%"
"170","Velus Jones Jr. (NO)","4","7","20","5.0","11","0","0","8","51","0","0","13","7.1","0.5","0.0%"
"171","Simi Fehoko (ARI)","1","2","9","9.0","9","0","1","0","0","0","0","2","6.9","3.5","1.0%"
"172","Chris Conley (FA)","3","6","69","23.0","48","1","0","0","0","0","0","1","6.9","6.9","0.0%"
"173","Tyler Johnson (NYJ)","2","3","8","4.0","8","0","1","0","0","0","0","1","6.8","6.8","1.1%"
"174","Jalen Brooks (DAL)","6","6","64","10.7","24","1","0","0","0","0","0","7","6.4","0.9","1.0%"
"175","Equanimeous St. Brown (SF)","5","6","62","12.4","21","1","0","0","0","0","0","5","6.2","1.2","0.1%"
"176","Rakim Jarrett (TB)","4","9","60","15.0","41","1","0","1","0","0","0","10","6.0","0.6","1.9%"
"177","DeAndre Carter (CLE)","4","7","39","9.8","16","0","0","3","18","0","0","17","5.7","0.3","0.0%"
"178","Isaiah McKenzie (FA)","11","14","82","7.5","30","1","0","3","14","0","2","13","5.6","0.4","0.0%"
"179","Justyn Ross (FA)","6","11","53","8.8","20","1","0","0","0","0","0","10","5.3","0.5","0.0%"
"180","Michael Strachan (WAS)","1","3","45","45.0","45","1","0","0","0","0","0","2","4.5","2.3","0.0%"
"181","Britain Covey (LAR)","4","6","42","10.5","22","1","0","0","0","0","0","15","4.2","0.3","0.0%"
"182","Elijah Cooks (PHI)","3","4","38","12.7","23","1","0","0","0","0","0","4","3.8","1.0","0.0%"
"183","Devin Duvernay (CHI)","4","9","18","4.5","10","0","0","4","15","0","0","13","3.3","0.3","0.6%"
"184","Keelan Doss (FA)","6","13","33","5.5","9","0","0","0","0","0","0","2","3.3","1.7","0.0%"
"185","Jalen Nailor (MIN)","3","6","29","9.7","16","0","0","0","0","0","0","6","2.9","0.5","6.3%"
"186","Trishton Jackson (ARI)","2","4","9","4.5","7","0","0","0","0","0","0","2","2.9","1.5","0.0%"
"187","Steven Sims Jr. (SEA)","3","3","25","8.3","23","1","0","1","1","0","0","3","2.6","0.9","0.0%"
"188","Erik Ezukanma (MIA)","0","1","0","0","0","0","0","5","22","0","0","2","2.2","1.1","0.0%"
"189","Gunner Olszewski (NYG)","1","1","0","0.0","0","0","0","0","0","0","2","12","2.0","0.2","0.0%"
"190","Kayshon Boutte (NE)","2","7","19","9.5","11","0","0","0","0","0","0","5","1.9","0.4","5.6%"
"191","Zach Pascal (NYG)","4","15","19","4.8","9","0","0","0","0","0","0","10","1.9","0.2","0.0%"
"192","Miles Boykin (CHI)","3","4","17","5.7","6","0","0","0","0","0","0","8","1.7","0.2","0.0%"
"193","Laquon Treadwell (IND)","1","3","16","16.0","16","0","0","0","0","0","0","3","1.6","0.5","0.0%"
"194","Marvin Jones Jr. (FA)","5","10","35","7.0","16","0","0","0","0","0","1","5","1.5","0.3","0.0%"
"195","Willie Snead IV (FA)","2","3","14","7.0","9","0","0","0","0","0","0","2","1.4","0.7","0.0%"
"196","Malik Taylor (DET)","2","4","13","6.5","7","0","0","0","0","0","0","3","1.3","0.4","0.0%"
"197","Collin Johnson (LV)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"198","Cody Thompson (FA)","1","1","10","10.0","10","0","0","0","0","0","0","2","1.0","0.5","0.0%"
"199","Austin Trammell (JAC)","4","7","29","7.3","14","0","0","0","0","0","1","15","0.9","0.1","0.0%"
"200","Mason Kinsey (TEN)","1","1","6","6.0","6","0","0","0","0","0","0","6","0.6","0.1","0.0%"
"201","Dee Eskridge (MIA)","0","1","0","0","0","0","0","2","5","0","0","4","0.5","0.1","0.0%"
"202","Colton Dowell (FA)","1","2","3","3.0","3","0","0","0","0","0","0","9","0.3","0.0","0.0%"
"203","Kwamie Lassiter II (FA)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"204","Antoine Green (FA)","1","2","2","2.0","2","0","0","0","0","0","0","2","0.2","0.1","0.0%"
"205","Dax Milne (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"206","Jaelon Darden (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"207","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.1%"
"208","Kearis Jackson (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"209","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"210","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"211","Dan Chisena (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Amari Rodgers (FA)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"213","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Chase Cota (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Jalen Virgil (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"216","Johnny Johnson III (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","Devon Allen (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"218","Dareke Young (SEA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"219","Montrell Washington (NYG)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"220","DJ Turner (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","1.0%"
"221","Michael Bandy (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"222","Isaiah Winstead (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"223","Shedrick Jackson (LV)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"224","Cephus Johnson III (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"225","Lucky Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"226","Ryan Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"227","Irvin Charles (NYJ)","0","1","0","0","0","0","0","0","0","0","0","11","0.0","0.0","1.1%"
"228","Matthew Slater (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"229","Tre'Quan Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"230","Justin Hardee Sr. (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"231","Andy Isabella (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"232","Stanley Morgan Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"233","Juwann Winfree (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"234","Damiere Byrd (FA)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"235","Ty Montgomery II (FA)","5","12","40","8.0","17","0","0","3","9","0","0","11","0.0","0.0","0.0%"
"236","Phillip Dorsett II (LV)","0","3","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"237","James Proche II (TEN)","0","5","0","0","0","0","0","0","0","0","1","10","-2.0","-0.2","0.0%"
"238","Trent Taylor (SF)","0","2","0","0","0","0","0","1","-2","0","1","15","-2.2","-0.1","0.0%"
""
""
